input_id	dealiased_id	standard_id	short_id
doi:10.1038/nbt.1592	doi:10.1038/nbt.1592	doi:10.1038/nbt.1592	tSXIKPl7
doi:10.1038/nmeth817	doi:10.1038/nmeth817	doi:10.1038/nmeth817	VBmW7Aot
doi:10.1038/nrm1861	doi:10.1038/nrm1861	doi:10.1038/nrm1861	tGQ6TSUo
doi:10.1111/j.1365-2818.1983.tb04225.x	doi:10.1111/j.1365-2818.1983.tb04225.x	doi:10.1111/j.1365-2818.1983.tb04225.x	g8QavfwP
doi:10.1016/j.sbi.2013.08.006	doi:10.1016/j.sbi.2013.08.006	doi:10.1016/j.sbi.2013.08.006	16IhS1Nc4
doi:10.1017/S0033583511000102	doi:10.1017/S0033583511000102	doi:10.1017/s0033583511000102	Rksh2dxu
doi:10.7554/eLife.25648	doi:10.7554/eLife.25648	doi:10.7554/elife.25648	Ynb3IP6I
doi:10.1101/2020.04.22.053868	doi:10.1101/2020.04.22.053868	doi:10.1101/2020.04.22.053868	18KGpXYPE
doi:10.7554/eLife.68946	doi:10.7554/eLife.68946	doi:10.7554/elife.68946	10bXZuF3G
doi:10.1016/j.cell.2016.08.057	doi:10.1016/j.cell.2016.08.057	doi:10.1016/j.cell.2016.08.057	1B9Vt9eYu
doi:10.1093/nar/gkz637	doi:10.1093/nar/gkz637	doi:10.1093/nar/gkz637	gRoY21jY
doi:10.1186/s12885-018-4178-z	doi:10.1186/s12885-018-4178-z	doi:10.1186/s12885-018-4178-z	KAJ7221k
doi:10.1101/2022.04.10.487797	doi:10.1101/2022.04.10.487797	doi:10.1101/2022.04.10.487797	T1Qr0xyP
doi:10.1016/j.molcel.2020.11.037	doi:10.1016/j.molcel.2020.11.037	doi:10.1016/j.molcel.2020.11.037	sbkam02a
doi:10.1017/S1431927619005798	doi:10.1017/S1431927619005798	doi:10.1017/s1431927619005798	wsFP5c54
doi:10.1016/j.jsb.2019.09.013	doi:10.1016/j.jsb.2019.09.013	doi:10.1016/j.jsb.2019.09.013	APSL9LmU
doi:10.1084/jem.134.4.907	doi:10.1084/jem.134.4.907	doi:10.1084/jem.134.4.907	xE2EhAcH
doi:10.1016/j.jsb.2018.06.007	doi:10.1016/j.jsb.2018.06.007	doi:10.1016/j.jsb.2018.06.007	17IP4Lhz1
doi:10.1016/j.jsb.2016.07.010	doi:10.1016/j.jsb.2016.07.010	doi:10.1016/j.jsb.2016.07.010	hr3dyUeI
pmid:9702200	pmid:9702200	pubmed:9702200	cie13Q8F
doi:10.1016/j.jsb.2022.107860	doi:10.1016/j.jsb.2022.107860	doi:10.1016/j.jsb.2022.107860	1GPPSX111
doi:10.1101/2021.12.31.474669	doi:10.1101/2021.12.31.474669	doi:10.1101/2021.12.31.474669	ujizcpVn
doi:10.1038/s41467-021-22251-8	doi:10.1038/s41467-021-22251-8	doi:10.1038/s41467-021-22251-8	1Gwx5ScUa
doi:10.1101/2022.04.07.487557	doi:10.1101/2022.04.07.487557	doi:10.1101/2022.04.07.487557	xvouNMBy
doi:10.1038/s41467-022-29501-3	doi:10.1038/s41467-022-29501-3	doi:10.1038/s41467-022-29501-3	17H2LWiIu
doi:10.1107/S2052252520013482	doi:10.1107/S2052252520013482	doi:10.1107/s2052252520013482	44fG6kcy
doi:10.1038/nrm.2017.125	doi:10.1038/nrm.2017.125	doi:10.1038/nrm.2017.125	kncnYGLD
doi:10.1038/ncb1596	doi:10.1038/ncb1596	doi:10.1038/ncb1596	agVdpX76
doi:10.1016/j.jsb.2005.07.007	doi:10.1016/j.jsb.2005.07.007	doi:10.1016/j.jsb.2005.07.007	19ZFerhph
doi:10.7554/eLife.35383	doi:10.7554/eLife.35383	doi:10.7554/elife.35383	MUY42yxp
doi:10.7554/eLife.06980	doi:10.7554/eLife.06980	doi:10.7554/elife.06980	1G4Y94qCy
doi:10.1016/j.jsb.2015.08.008	doi:10.1016/j.jsb.2015.08.008	doi:10.1016/j.jsb.2015.08.008	n43f3Sqs
doi:10.1107/S2052252521008538	doi:10.1107/S2052252521008538	doi:10.1107/s2052252521008538	q2PSamkS
doi:10.7717/peerj.453	doi:10.7717/peerj.453	doi:10.7717/peerj.453	stvWEJeu
doi:10.1038/s41592-019-0686-2	doi:10.1038/s41592-019-0686-2	doi:10.1038/s41592-019-0686-2	8Miti2Gz
doi:10.1002/pro.3943	doi:10.1002/pro.3943	doi:10.1002/pro.3943	cYCuuZxG
